Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1459242000.0 10224.0 NA 128 274 0 NA 190 354 0 NA 4662 8161 939 NA 8635 12233 947
1459242000.0 10225.0 NA 125 271 0 NA 189 352 0 NA 4442 6623 917 NA 8295 10042 925
1459242000.0 1303.0 73 138 195 NA 118 185 245 NA 20835 1342 2124 NA 20936 1404 2173 NA
1459242000.0 134.802 NA 141 270 0 NA 187 307 0 NA 4036 16182 956 NA 4107 16289 965
1459242000.0 134.806 NA 143 281 0 NA 191 316 0 NA 5129 18130 988 NA 5193 18214 1000
1459242000.0 134.807 NA 178 278 0 NA 226 329 0 NA 5030 15837 1050 NA 5148 15926 1060
1459242000.0 134.808 NA 185 271 0 NA 223 331 0 NA 4646 16235 1062 NA 4718 16338 1070
1459242000.0 250200.0 NA 329 290 0 NA 420 421 0 NA 16639 5262 1674 NA 17613 5325 1690
1459242000.0 250202.0 NA 213 287 0 NA 267 349 0 NA 21342 6724 1688 NA 22477 6787 1696
1459242000.0 250203.0 NA 207 289 0 NA 268 348 0 NA 17958 5544 1652 NA 19008 5624 1663
1459242000.0 250204.0 NA 214 290 0 NA 270 353 0 NA 19954 6360 1667 NA 22008 6422 1679
1459242000.0 250205.0 NA 217 289 0 NA 272 351 0 NA 17010 6209 1642 NA 19022 6304 1651
1459242000.0 250206.0 NA 210 283 0 NA 268 349 0 NA 17792 6297 1676 NA 18676 6371 1692
1459242000.0 250207.0 NA 190 285 0 NA 261 346 0 NA 14928 5062 1614 NA 17068 5145 1621
1459242000.0 25202.0 NA 183 339 0 NA 255 407 0 NA 4844 7720 1731 NA 7470 9787 1751
1459242000.0 25203.0 NA 180 323 0 NA 249 410 0 NA 4665 6962 1699 NA 7255 9118 1707
1459242000.0 4.55 NA 47 238 0 NA 84 295 0 NA 242 17916 892 NA 276 18005 899
1459242000.0 4.57 NA 66 247 0 NA 97 306 0 NA 216 17783 902 NA 242 17858 916
1459242000.0 4.68 NA 52 239 0 NA 93 293 0 NA 212 16532 869 NA 229 16602 877
