Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1459033200.0 1000.0 NA 171 108 0 32 NA 229 152 0 67 NA 2491 597 725 101 NA 2540 725 808 129
1459033200.0 1314.0 NA 136 208 0 NA NA 192 269 0 NA NA 1371 2151 2287 NA NA 1540 2339 2329 NA
1459033200.0 1318.0 NA 124 201 0 NA NA 179 261 0 NA NA 848 1305 2196 NA NA 963 1541 2281 NA
1459033200.0 1329.0 NA 123 206 0 NA NA 183 263 0 NA NA 991 1438 2348 NA NA 1149 1604 2412 NA
1459033200.0 1331.0 NA 126 205 0 NA NA 184 265 0 NA NA 979 1531 2277 NA NA 1157 1673 2339 NA
1459033200.0 134.706 NA 88 197 0 NA NA 148 267 0 NA NA 1201 7752 1046 NA NA 1830 8088 1079 NA
1459033200.0 1344.0 NA 124 204 0 NA NA 184 264 0 NA NA 771 1142 1593 NA NA 1198 1258 1724 NA
1459033200.0 135.12 177 0 88 NA NA 239 0 135 NA NA 959 199 301 NA NA 1146 219 372 NA NA
1459033200.0 135.2 163 0 86 NA NA 222 0 133 NA NA 774 186 258 NA NA 885 208 351 NA NA
1459033200.0 135.4 181 0 89 NA NA 242 0 137 NA NA 986 207 304 NA NA 1171 224 367 NA NA
1459033200.0 135.6 176 0 88 NA NA 242 0 137 NA NA 1520 283 403 NA NA 1663 299 488 NA NA
1459033200.0 2.0 52 75 116 NA NA 97 143 167 NA NA 8609 697 889 NA NA 8786 737 940 NA NA
1459033200.0 250402.0 185 0 90 NA NA 260 0 137 NA NA 2313 292 825 NA NA 2553 330 891 NA NA
1459033200.0 250405.0 182 0 90 NA NA 259 0 138 NA NA 2093 269 793 NA NA 2330 294 860 NA NA
1459033200.0 25408.0 221 0 96 NA NA 310 0 139 NA NA 5006 253 652 NA NA 5856 308 761 NA NA
1459033200.0 33.0 NA 72 167 0 NA NA 139 222 0 NA NA 2093 1582 674 NA NA 2241 1635 800 NA
1459033200.0 37.0 NA 71 168 0 NA NA 140 222 0 NA NA 3511 5169 941 NA NA 3702 5369 960 NA
1459033200.0 4.17 NA 23 180 0 99 NA 65 238 0 154 NA 56 2666 811 615 NA 89 2741 835 739
1459033200.0 4.28 NA 53 188 0 NA NA 100 254 0 NA NA 233 3282 3391 NA NA 433 3470 3472 NA
1459033200.0 4.29 NA 22 182 0 101 NA 66 244 0 158 NA 68 4319 1355 952 NA 121 4523 1392 1237
1459033200.0 4.34 NA 55 187 0 NA NA 97 253 0 NA NA 161 4865 1503 NA NA 252 5082 1574 NA
1459033200.0 4.37 NA 49 185 0 NA NA 84 254 0 NA NA 77 4359 947 NA NA 125 4438 972 NA
1459033200.0 4.55 NA 20 189 0 NA NA 65 255 0 NA NA 71 9772 866 NA NA 192 9974 882 NA
1459033200.0 4.57 NA 46 194 0 NA NA 81 265 0 NA NA 80 9812 876 NA NA 114 10081 889 NA
1459033200.0 4.67 NA 41 194 0 NA NA 83 267 0 NA NA 99 9725 901 NA NA 156 9958 925 NA
1459033200.0 500203.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1459033200.0 50208.0 NA 141 246 0 NA NA 206 320 0 NA NA 2024 4226 1545 NA NA 3735 5787 1601 NA
1459033200.0 9.0 NA 71 169 0 NA NA 140 223 0 NA NA 3529 4701 991 NA NA 3750 4867 1017 NA
